color,Duration,full_name,is_productive,is_work,status,timestamp_date,timestampEnd,timestampStart
#39A7FF,1,Ivan Basso,true,true,On a Call,2023-11-27 00:00:00,2023-11-27 09:56:00,2023-11-27 09:56:00
#39A7FF,1,Ivan Basso,true,true,On a Call,2023-11-27 00:00:00,2023-11-27 13:23:00,2023-11-27 13:23:00
#39A7FF,1,Ivan Basso,true,true,On a Call,2023-11-28 00:00:00,2023-11-28 13:30:00,2023-11-28 13:30:00
#39A7FF,1,Ivan Basso,true,true,On a Call,2023-11-30 00:00:00,2023-11-30 09:02:00,2023-11-30 09:02:00
#39A7FF,1,Ivan Basso,true,true,On a Call,2023-11-30 00:00:00,2023-11-30 11:55:00,2023-11-30 11:55:00
#39A7FF,1,Jens Voigt,true,true,After Call Work,2023-11-28 00:00:00,2023-11-28 11:15:00,2023-11-28 11:14:00
#39A7FF,1,Jens Voigt,true,true,After Call Work,2023-11-29 00:00:00,2023-11-29 15:00:00,2023-11-29 15:00:00
#39A7FF,1,Jens Voigt,true,true,Mail,2023-11-30 00:00:00,2023-11-30 15:00:00,2023-11-30 14:59:00
#39A7FF,1,Oscar Freire,false,false,Self service,2023-11-25 00:00:00,2023-11-25 12:29:00,2023-11-25 12:29:00
#39A7FF,1,Oscar Freire,false,false,Talk&Help Task,2023-11-30 00:00:00,2023-11-30 17:12:00,2023-11-30 17:12:00
#39A7FF,1,Oscar Freire,true,true,On a Call,2023-11-24 00:00:00,2023-11-24 21:00:00,2023-11-24 20:59:00
#39A7FF,2,Ivan Basso,true,true,After Call Work,2023-11-24 00:00:00,2023-11-24 12:30:00,2023-11-24 12:30:00
#39A7FF,2,Ivan Basso,true,true,On a Call,2023-11-27 00:00:00,2023-11-27 09:19:00,2023-11-27 09:19:00
#39A7FF,2,Ivan Basso,true,true,On a Call,2023-11-27 00:00:00,2023-11-27 09:54:00,2023-11-27 09:54:00
#39A7FF,2,Ivan Basso,true,true,On a Call,2023-11-27 00:00:00,2023-11-27 14:42:00,2023-11-27 14:42:00
#39A7FF,2,Ivan Basso,true,true,On a Call,2023-11-28 00:00:00,2023-11-28 09:57:00,2023-11-28 09:57:00
