Duration,full_name,is_productive,is_work,status,timestamp_date,timestampEnd,timestampStart,color
0,Mark Cavendish,false,false,Login,2023-11-22 00:00:00,2023-11-22 08:21:00,2023-11-22 08:21:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-23 00:00:00,2023-11-23 07:54:00,2023-11-23 07:54:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-23 00:00:00,2023-11-23 08:22:00,2023-11-23 08:22:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-24 00:00:00,2023-11-24 08:26:00,2023-11-24 08:26:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-27 00:00:00,2023-11-27 08:01:00,2023-11-27 08:01:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-27 00:00:00,2023-11-27 08:20:00,2023-11-27 08:20:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-28 00:00:00,2023-11-28 08:02:00,2023-11-28 08:02:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-28 00:00:00,2023-11-28 11:55:00,2023-11-28 11:55:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-29 00:00:00,2023-11-29 08:05:00,2023-11-29 08:05:00,#87C4FF
0,Mark Cavendish,false,false,Login,2023-11-30 00:00:00,2023-11-30 08:11:00,2023-11-30 08:11:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-22 00:00:00,2023-11-22 16:57:00,2023-11-22 16:57:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-23 00:00:00,2023-11-23 08:11:00,2023-11-23 08:11:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-23 00:00:00,2023-11-23 16:59:00,2023-11-23 16:59:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-24 00:00:00,2023-11-24 16:01:00,2023-11-24 16:01:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-27 00:00:00,2023-11-27 08:20:00,2023-11-27 08:20:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-27 00:00:00,2023-11-27 16:56:00,2023-11-27 16:56:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-28 00:00:00,2023-11-28 11:55:00,2023-11-28 11:55:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-28 00:00:00,2023-11-28 17:01:00,2023-11-28 17:01:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-29 00:00:00,2023-11-29 16:58:00,2023-11-29 16:58:00,#87C4FF
0,Mark Cavendish,false,false,Logout,2023-11-30 00:00:00,2023-11-30 16:56:00,2023-11-30 16:56:00,#87C4FF
0,Mark Cavendish,true,true,Dialing,2023-11-27 00:00:00,2023-11-27 14:15:00,2023-11-27 14:15:00,#87C4FF
0,Mark Cavendish,true,true,Dialing,2023-11-28 00:00:00,2023-11-28 11:55:00,2023-11-28 11:55:00,#87C4FF
0,Mark Cavendish,true,true,Dialing,2023-11-28 00:00:00,2023-11-28 15:26:00,2023-11-28 15:26:00,#87C4FF
0,Mark Cavendish,true,true,Waiting,2023-11-27 00:00:00,2023-11-27 14:15:00,2023-11-27 14:15:00,#87C4FF
0,Mark Cavendish,true,true,WrapUp,2023-11-27 00:00:00,2023-11-27 15:15:00,2023-11-27 15:15:00,#39A7FF
0,Phillipe Gilbert,false,false,Login,2023-11-22 00:00:00,2023-11-22 08:23:00,2023-11-22 08:23:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-22 00:00:00,2023-11-22 14:48:00,2023-11-22 14:48:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-23 00:00:00,2023-11-23 08:26:00,2023-11-23 08:26:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-24 00:00:00,2023-11-24 08:24:00,2023-11-24 08:24:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-24 00:00:00,2023-11-24 12:26:00,2023-11-24 12:26:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-27 00:00:00,2023-11-27 08:21:00,2023-11-27 08:21:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-27 00:00:00,2023-11-27 16:18:00,2023-11-27 16:18:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-28 00:00:00,2023-11-28 08:23:00,2023-11-28 08:23:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-29 00:00:00,2023-11-29 08:27:00,2023-11-29 08:27:00,#87C4FF
0,Phillipe Gilbert,false,false,Login,2023-11-30 00:00:00,2023-11-30 08:26:00,2023-11-30 08:26:00,#87C4FF
